_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
146,147,PROBLEMAS SOCIALES Y DEBATES CONTEMPORANEOS,A,MARTES/16-19/ AUDITORIO EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,,MARTES,16-19,AUDITORIO EDIF. G,,,,,,,,,
147,148,PROCESAMIENTO DIGITAL DE IMAGENES MEDICAS,A,MARTES/17-19/CENTRO DE COMPUTO 1,JUEVES/17-19/CENTRO DE COMPUTO 1,VIERNES/17-19/CENTRO DE COMPUTO 1,,GONZALO PAEZ PADILLA,GONZALO PAEZ PADILLA,,,,MARTES,17-19,CENTRO DE COMPUTO 1,JUEVES,17-19,CENTRO DE COMPUTO 1,VIERNES,17-19,CENTRO DE COMPUTO 1,,,
148,149,PROCESOS DE SEPARACION,A,MARTES/10-12/CENTRO DE COMPUTO 2,JUEVES/10-12/ CENTRO DE COMPUTO 2,,,PATRICIA MARIA OLMOS MOYA,PATRICIA MARIA OLMOS MOYA,,,,MARTES,10-12,CENTRO DE COMPUTO 2,JUEVES,10-12,CENTRO DE COMPUTO 2,,,,,,
149,150,PROGRAMACION BASICA,A,LUNES/8-10/CENTRO DE COMPUTO 1,MIERCOLES/8-10/CENTRO DE COMPUTO 1,,,ARTURO VEGA GONZALEZ,ARTURO VEGA GONZALEZ,,,,LUNES,8-10,CENTRO DE COMPUTO 1,MIERCOLES,8-10,CENTRO DE COMPUTO 1,,,,,,
150,151,PROGRAMACION BASICA,B,MARTES/12-14/CENTRO DE COMPUTO 1,JUEVES/12-14/CENTRO DE COMPUTO 1,,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,,MARTES,12-14,CENTRO DE COMPUTO 1,JUEVES,12-14,CENTRO DE COMPUTO 1,,,,,,
151,152,PROGRAMACION BASICA,C,LUNES/12-14/ CENTRO DE COMPUTO 2,VIERNES/12-14/CENTRO DE COMPUTO 2,,,ORLANDO MIGUEL MEDINA CAZARES,ORLANDO MIGUEL MEDINA CAZARES,,,,LUNES,12-14,CENTRO DE COMPUTO 2,VIERNES,12-14,CENTRO DE COMPUTO 2,,,,,,
152,153,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE COMPUTO 2,MIERCOLES/12-14/ CENTRO DE COMPUTO 2,JUEVES/12-14/CENTRO DE COMPUTO 2,,JOSE REYES JUAREZ,JOSE REYES JUAREZ,,,,MARTES,12-14,CENTRO DE COMPUTO 2,MIERCOLES,12-14,CENTRO DE COMPUTO 2,JUEVES,12-14,CENTRO DE COMPUTO 2,,,
153,154,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/10-12/CENTRO DE COMPUTO 1,MARTES/15-17/CENTRO DE COMPUTO 1,JUEVES/15-17/CENTRO DE COMPUTO 1,,ANGELICA HERNANDEZ RAYAS,ANGELICA HERNANDEZ RAYAS,,,,LUNES,10-12,CENTRO DE COMPUTO 1,MARTES,15-17,CENTRO DE COMPUTO 1,JUEVES,15-17,CENTRO DE COMPUTO 1,,,
154,155,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,C,MARTES/8-10/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 1,VIERNES/8-10/CENTRO DE COMPUTO 1,,IGNACIO RAUL ROSAS ROMAN,IGNACIO RAUL ROSAS ROMAN,,,,MARTES,8-10,CENTRO DE COMPUTO 1,JUEVES,8-10,CENTRO DE COMPUTO 1,VIERNES,8-10,CENTRO DE COMPUTO 1,,,
155,156,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,D,MIERCOLES/12-14/CENTRO DE COMPUTO 1,JUEVES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/CENTRO DE COMPUTO 2,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,,MIERCOLES,12-14,CENTRO DE COMPUTO 1,JUEVES,10-12,CENTRO DE COMPUTO 1,VIERNES,10-12,CENTRO DE COMPUTO 2,,,
156,157,PROPIEDADES FISICOQUIMICAS,A-I,MARTES/12-14/F8,JUEVES/12-14/C3,VIERNES/12-14/LAB DE QUIMICA EDIF. G,,LUIS GERARDO FRAUSTO TORRES,LUIS GERARDO FRAUSTO TORRES,,,,MARTES,12-14,F8,JUEVES,12-14,C3,VIERNES,12-14,LAB DE QUIMICA EDIF. G,,,
157,158,QUIMICA ANALITICA,A-I,MIERCOLES/10-11/F8,VIERNES/10-12/G1,MARTES/10-13/LAB. DE QUIMICA EDIF. F,,SVETLANA KASHINA,SVETLANA KASHINA,,,,MIERCOLES,10-11,F8,VIERNES,10-12,G1,MARTES,10-13,LAB. DE QUIMICA EDIF. F,,,
