_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
57,58,ELECTRICIDAD Y MAGNETISMO,A-VI,MARTES/10-12/F6,JUEVES/10-12/F6,"VIERNES/8-10/LAB. DE FISICA MODERNA,  EDIF. G",,ERICK SARMIENTO GOMEZ/GERARDO GUTIERREZ JUAREZ,ERICK SARMIENTO GOMEZ,GERARDO GUTIERREZ JUAREZ,,,MARTES,10-12,F6,JUEVES,10-12,F6,VIERNES,8-10,"LAB. DE FISICA MODERNA,  EDIF. G",,,
58,59,ELECTRICIDAD Y MAGNETISMO,A-VII,MARTES/10-12/F6,JUEVES/10-12/F6,"LUNES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,ERICK SARMIENTO GOMEZ/GERARDO GUTIERREZ JUAREZ,ERICK SARMIENTO GOMEZ,GERARDO GUTIERREZ JUAREZ,,,MARTES,10-12,F6,JUEVES,10-12,F6,LUNES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
59,60,ELECTRICIDAD Y MAGNETISMO,B-IX,JUEVES/10-12/F5,VIERNES/10-12/F5,"VIERNES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,JOSE SOCORRO GARCIA DIAZ/EDGAR VALENCIA RODRIGUEZ,JOSE SOCORRO GARCIA DIAZ,EDGAR VALENCIA RODRIGUEZ,,,JUEVES,10-12,F5,VIERNES,10-12,F5,VIERNES,12-14,"LAB. DE FISICA MODERNA, EDIF. G",,,
60,61,ELECTRICIDAD Y MAGNETISMO,B-V,JUEVES/10-12/F5,VIERNES/10-12/F5,"LUNES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,JOSE SOCORRO GARCIA DIAZ/JULIAN FELIX VALDEZ,JOSE SOCORRO GARCIA DIAZ,JULIAN FELIX VALDEZ,,,JUEVES,10-12,F5,VIERNES,10-12,F5,LUNES,12-14,"LAB. DE FISICA MODERNA, EDIF. G",,,
61,62,ELECTRICIDAD Y MAGNETISMO,C-III,LUNES/10-12/F8,JUEVES/12-14/G1,"MIERCOLES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,ERICK SARMIENTO GOMEZ/JULIAN FELIX VALDEZ,ERICK SARMIENTO GOMEZ,JULIAN FELIX VALDEZ,,,LUNES,10-12,F8,JUEVES,12-14,G1,MIERCOLES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
62,63,ELECTRICIDAD Y MAGNETISMO,C-IV,LUNES/10-12/F8,JUEVES/12-14/G1,"MARTES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,ERICK SARMIENTO GOMEZ/JULIAN FELIX VALDEZ,ERICK SARMIENTO GOMEZ,JULIAN FELIX VALDEZ,,,LUNES,10-12,F8,JUEVES,12-14,G1,MARTES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
63,64,ELECTRICIDAD Y MAGNETISMO,D-I,LUNES/12-14/F1,VIERNES/12-14/F2,"JUEVES/8-10/LAB. DE FISICA MODERNA, EDIF. G",,GERARDO GUTIERREZ JUAREZ/JULIAN FELIX VALDEZ,GERARDO GUTIERREZ JUAREZ,JULIAN FELIX VALDEZ,,,LUNES,12-14,F1,VIERNES,12-14,F2,JUEVES,8-10,"LAB. DE FISICA MODERNA, EDIF. G",,,
64,65,ELECTRICIDAD Y MAGNETISMO,D-II,LUNES/12-14/F1,VIERNES/12-14/F2,"MIERCOLES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,GERARDO GUTIERREZ JUAREZ/JULIAN FELIX VALDEZ,GERARDO GUTIERREZ JUAREZ,JULIAN FELIX VALDEZ,,,LUNES,12-14,F1,VIERNES,12-14,F2,MIERCOLES,12-14,"LAB. DE FISICA MODERNA, EDIF. G",,,
65,66,ELECTRICIDAD Y MAGNETISMO,E-V,LUNES/15-17/F6,VIERNES/15-17/F6,"LUNES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,JULIAN FELIX VALDEZ,JULIAN FELIX VALDEZ,,,,LUNES,15-17,F6,VIERNES,15-17,F6,LUNES,12-14,"LAB. DE FISICA MODERNA, EDIF. G",,,
66,67,ELECTRICIDAD Y MAGNETISMO,E-VIII,LUNES/15-17/F6,VIERNES/15-17/F6,"JUEVES/12-14/LAB. DE FISICA MODERNAL, EDIF. G",,JULIAN FELIX VALDEZ/ETNA DAFNE YANEZ ROLDAN,JULIAN FELIX VALDEZ,ETNA DAFNE YANEZ ROLDAN,,,LUNES,15-17,F6,VIERNES,15-17,F6,JUEVES,12-14,"LAB. DE FISICA MODERNAL, EDIF. G",,,
