index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS
184,TEORÍA CLÁSICA DE CAMPOS,A,LUNES/17-19/SALA DE JUNTAS EDIF. B,"JUEVES/17-19/SALA DE JUNTAS, EDIF. B", , ,ALBERTO DÍEZ TEJEDOR
185,TEORÍA DE GRUPOS,A,"LUNES/15-17/SALA DE JUNTAS EDIF, B",MIÉRCOLES/15-17/SALA DE JUNTAS EDIF. B, , ,CARLOS ALBERTO VAQUERA ARAUJO
186,TEORÍA DE LA DISPERSIÓN,A,MARTES/10-12/ SALA DE JUNTAS  EDIF. A,JUEVES/10-12/ SALA DE JUNTAS  EDIF. A, , ,DAVID YVES GHISLAIN DELEPINE
187,TERMODINÁMICA,A-I,MARTES/13-15/F5,JUEVES/12-14/F5,"MARTES/8-10/LAB. DE TERMODINÁMICA, EDIF. G", ,FRANCISCO ALARCÓN OSEGUERA/PENDIENTE
188,TERMODINÁMICA,A-III,MARTES/13-15/F5,JUEVES/12-14/F5,"JUEVES/14-16/LAB. DE TERMODINÁMICA, EDIF. G", ,FRANCISCO ALARCÓN OSEGUERA/PENDIENTE
189,TERMODINÁMICA,B-II,MARTES/8-10/ C3,VIERNES/8-10/C3,"VIERNES/10-12/LAB. DE QUÍMICA, EDIF. G", ,PENDIENTE/PENDIENTE
190,TERMODINÁMICA QUÍMICA,A-I,LUNES/10-12/F2,MIÉRCOLES/8-10/CENTRO DE CÓMPUTO 2,VIERNES/8-10/LAB. DE QUÍMICA EDIFICIO G, ,SUSANA FIGUEROA GERSTENMAIER/JULIO CÉSAR ARMAS PÉREZ
191,TÓPICOS SELECTOS DE ASTRONOMÍA,A,LUNES/15-17/C2,JUEVES/15-17/C2, , ,CARSTEN HOLTFORT 
192,VARIABLE COMPLEJA ,A,LUNES/8-10/F9,MIÉRCOLES/8-10/F9, , ,JOSÉ TORRES ARENAS
193,VARIABLE COMPLEJA ,B,MIÉRCOLES/10-12/G1,VIERNES/12-14/G1, , ,GUSTAVO NIZ QUEVEDO
194,VARIABLE COMPLEJA ,C,MARTES/12-14/C3,MIÉRCOLES/10-12/C3, , ,ÓSCAR MIGUEL SABIDO MORENO
